Référence Chantier;Code postal arrondissement - Commune;Date début du chantier;Date fin du chantier;Responsable du chantier;Maîtrise d'ouvrage principale;Surface (m2);Synthèse - Nature du chantier;Encombrement espace public;Impact stationnement;Identifiant demande CITE;Identifiant Chantier CITE;geo_shape;geo_point_2d
EC478667;75005;2025-11-24;2025-12-19;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;13.38;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;933668;311528;"{""coordinates"": [[[2.342583009750419, 48.84792957202815], [2.3425642694783866, 48.84793834842264], [2.3426027514335535, 48.84800549917161], [2.3426235184584927, 48.848000148773934], [2.342583009750419, 48.84792957202815]]], ""type"": ""Polygon""}";48.847968377567575, 2.3425934781656945
EC475716;75010;2025-11-10;2025-12-12;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;5.32;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;931180;309552;"{""coordinates"": [[[2.3535322889192893, 48.87096943848102], [2.3535228157374943, 48.871002686256254], [2.3535124409239447, 48.871004337167804], [2.353515783085527, 48.871013178637284], [2.353547800901025, 48.87100566670747], [2.3535448661419256, 48.87099882037515], [2.3535284310751043, 48.87100214730258], [2.3535379064168014, 48.87096861534733], [2.3535448344617427, 48.87096666072776], [2.3535419032320313, 48.87095953022293], [2.3535159478591, 48.87096508195887], [2.35351887908557, 48.870972212464295], [2.3535322889192893, 48.87096943848102]]], ""type"": ""Polygon""}";48.8709876825533, 2.3535300692357435
EC464577;75012;2025-09-22;2025-12-15;Tiers (travaux sur bâtiment);PERSONNE PHYSIQUE;24.01;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;922176;302253;"{""coordinates"": [[[2.3985045587080283, 48.837387582330244], [2.3983682139767066, 48.83748616826602], [2.398337157153661, 48.837487378187575], [2.3982569827142424, 48.83744098149155], [2.3982479355447435, 48.83744776663639], [2.3983336288615535, 48.837494190198754], [2.398376407502387, 48.83749349521165], [2.39851414279385, 48.83739400610469], [2.3985045587080283, 48.837387582330244]]], ""type"": ""Polygon""}";48.83745237175779, 2.3983898051423203
EC427979;75015;2025-01-31;2027-04-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;274.52;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;AUTRE,DEUX_ROUES,STATIONNEMENT_PAYANT;893533;278921;"{""coordinates"": [[[[2.279066259893072, 48.84708078278301], [2.2790989022370245, 48.8471008500735], [2.278469767034519, 48.84665824224591], [2.2784535833329196, 48.84668091390237], [2.2784442366407367, 48.84670817938478], [2.278856983504557, 48.84699664312348], [2.2788977395387304, 48.84699324634885], [2.279000932638891, 48.84706490651938], [2.279066259893072, 48.84708078278301]]], [[[2.2791151423478877, 48.84711083376164], [2.279116570565978, 48.84711171205439], [2.279145342686144, 48.84711366796143], [2.279152999072911, 48.8471131196121], [2.27915928595518, 48.84711404876349], [2.2791887213105513, 48.84711445724978], [2.2791151423478877, 48.84711083376164]]], [[[2.279197153371548, 48.84711487229519], [2.279212792952707, 48.847117044055764], [2.279215726500192, 48.847115787327844], [2.279197153371548, 48.84711487229519]]], [[[2.2790989022370245, 48.8471008500735], [2.2791129390113465, 48.84711072515256], [2.2791151423478877, 48.84711083376164], [2.2790989022370245, 48.8471008500735]]], [[[2.279229841807031, 48.847109739590316], [2.279246290226913, 48.84710269322071], [2.279247737203713, 48.84710418589188], [2.279247424420339, 48.84710236638877], [2.2792474370197167, 48.84710145540684], [2.279229841807031, 48.847109739590316]]], [[[2.279247737203713, 48.84710418589188], [2.279252310711946, 48.847130766327375], [2.279248437182709, 48.84710490780296], [2.279247737203713, 48.84710418589188]]], [[[2.279215726500192, 48.847115787327844], [2.2792168785592697, 48.84711584373378], [2.279229841807031, 48.847109739590316], [2.279215726500192, 48.847115787327844]]], [[[2.2791887213105513, 48.84711445724978], [2.279197153371548, 48.84711487229519], [2.279194767783618, 48.84711454134552], [2.2791887213105513, 48.84711445724978]]]], ""type"": ""MultiPolygon""}";48.846860288064796, 2.2787135545290984
EC474793;75016;2025-11-17;2025-12-19;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;21.4;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;930334;308888;"{""coordinates"": [[[2.2769040672332395, 48.86298045379237], [2.276762815651642, 48.862926208336745], [2.2767500305863995, 48.86293979225198], [2.2768924834770994, 48.86299450095259], [2.2769040672332395, 48.86298045379237]]], ""type"": ""Polygon""}";48.86296024905821, 2.276827341839209
EC432063;75015;2025-01-31;2027-04-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;172.81;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;893533;278921;"{""coordinates"": [[[2.2790016639930153, 48.84715761937972], [2.2790204205362397, 48.8471456719156], [2.2781804375773467, 48.84655046343649], [2.27816127448104, 48.84656205307239], [2.2790016639930153, 48.84715761937972]]], ""type"": ""Polygon""}";48.846854089752604, 2.278591141987569
EC469402;75013;2025-10-13;2026-02-13;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;45.04;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;925905;305357;"{""coordinates"": [[[2.3490635295827365, 48.824038917806334], [2.3490638053077197, 48.82401683328925], [2.348813003570951, 48.82402571443239], [2.348779110294657, 48.82403372589236], [2.3488148307345003, 48.82404507719166], [2.3490635295827365, 48.824038917806334]]], ""type"": ""Polygon""}";48.82403174074143, 2.3489329981743885
EC398001;75016;2024-04-22;2026-04-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;8.67;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;869604;259645;"{""coordinates"": [[[2.297358217670646, 48.86656067461665], [2.2974135062141996, 48.86658746791185], [2.2974308945762507, 48.866577608802224], [2.2973756252229167, 48.86654939285823], [2.297358217670646, 48.86656067461665]]], ""type"": ""Polygon""}";48.866568594969436, 2.2973942512680927
EC468214;75010;2025-10-22;2025-12-19;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;23.45;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;925087;304669;"{""coordinates"": [[[2.3567928108797136, 48.87086604899139], [2.356753865717358, 48.87087551569677], [2.356797060646091, 48.87094120621601], [2.356833438190617, 48.870930017855386], [2.3567928108797136, 48.87086604899139]]], ""type"": ""Polygon""}";48.87090304730312, 2.356794079527529
EC469712;75015;2025-11-05;2026-04-10;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;17.05;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;926420;305694;"{""coordinates"": [[[2.310423507582068, 48.84594163312643], [2.31021580889401, 48.845891254965665], [2.3102122443894313, 48.84589988719355], [2.31042130531326, 48.84595163844609], [2.310423507582068, 48.84594163312643]]], ""type"": ""Polygon""}";48.845921550753765, 2.3103200147501592
EC466134;75018;2025-09-15;2026-02-13;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;64.29;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE;;923447;303311;"{""coordinates"": [[[2.3383125958923823, 48.88508965780107], [2.3381404900235196, 48.885144487435745], [2.338268902400468, 48.8853086700835], [2.3383023537367356, 48.88529792631107], [2.3382982892701705, 48.88529175603467], [2.338285484712694, 48.88529418990016], [2.338177835014977, 48.88515334541729], [2.338324476111916, 48.885105660470536], [2.3383125958923823, 48.88508965780107]]], ""type"": ""Polygon""}";48.88518450175581, 2.3382273051953173
EC305535;75001;2023-01-09;2026-05-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;11.07;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;737967;201873;"{""coordinates"": [[[2.32885686241876, 48.86639435724656], [2.3288741264239126, 48.866410926465385], [2.3289277429212754, 48.86638377278588], [2.328910477544954, 48.86636720356673], [2.32885686241876, 48.86639435724656]]], ""type"": ""Polygon""}";48.86638906497714, 2.328892302473935
EC466330;75014;2025-09-08;2026-07-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;84.34;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;923548;303416;"{""coordinates"": [[[2.314477337762432, 48.82724142901542], [2.3144571828552905, 48.82725315379849], [2.3147142652246213, 48.82742402872935], [2.3146947516311758, 48.82743939970749], [2.314777476148816, 48.82749497502963], [2.3148150517343278, 48.827469688450584], [2.314477337762432, 48.82724142901542]]], ""type"": ""Polygon""}";48.82738174953675, 2.3146590832589227
EC399682;75003;2024-06-24;2027-09-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;25.99;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;857695;250082;"{""coordinates"": [[[2.3637543087501784, 48.865869918837866], [2.3638183212438295, 48.86588437609376], [2.363845082147593, 48.86584080309453], [2.363780378606332, 48.86582634307795], [2.3637543087501784, 48.865869918837866]]], ""type"": ""Polygon""}";48.86585532958746, 2.363799560059349
EC445805;75012;2025-06-02;2025-12-31;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;55.48;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;907487;290253;"{""coordinates"": [[[2.4008193863394878, 48.84028990062645], [2.400812399414142, 48.84029760731998], [2.4008283849685976, 48.84034732306507], [2.4008171581921873, 48.84036365946473], [2.4008393366289247, 48.840414772352425], [2.4008764085045273, 48.840490550122794], [2.401008255939446, 48.84084366764306], [2.4010213468571187, 48.84084509931923], [2.400945734612215, 48.84064116953553], [2.4008881886063453, 48.84048605476375], [2.400849000076029, 48.84041436567749], [2.400828885917184, 48.840363718207385], [2.400839406238853, 48.84034874439591], [2.4008193863394878, 48.84028990062645]]], ""type"": ""Polygon""}";48.84057869908151, 2.400914614112873
EC425345;75012;2025-01-20;2026-06-19;Ville de Paris (Tvx sur espace ou édifice public);Direction des Espaces Verts et de l'Environnement;5772.85;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;891557;277357;"{""coordinates"": [[[2.4134630130194807, 48.839858940932565], [2.41344460000514, 48.839778706045166], [2.4131959144202058, 48.83980845131966], [2.4127407365538622, 48.838327171610494], [2.412645266597565, 48.83835129318387], [2.4126131407800586, 48.838263704098], [2.4124553458527527, 48.83843141624192], [2.41248539019504, 48.83845888638098], [2.4131473371097933, 48.84069163262062], [2.41336549020333, 48.84067813033176], [2.4132166758313884, 48.839925128108376], [2.4134736604734885, 48.83989360138126], [2.4134630130194807, 48.839858940932565]]], ""type"": ""Polygon""}";48.83948692319508, 2.4129480780252295
EC476386;75012;2025-11-06;2025-12-31;Ville de Paris (Tvx sur espace ou édifice public);Direction des Espaces Verts et de l'Environnement;6.7;Aménagement ou entretien de l’espace public;EMPRISE_TROTTOIR;;931659;309925;"{""coordinates"": [[[2.4063482954595314, 48.844694326716976], [2.406354977074147, 48.84471340283518], [2.406396408633563, 48.84471029699075], [2.4063897303536077, 48.84469080718769], [2.4063482954595314, 48.844694326716976]]], ""type"": ""Polygon""}";48.84470219713964, 2.4063724229939716
EC462697;75014;2025-08-25;2025-12-19;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;136.44;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;920777;301116;"{""coordinates"": [[[2.3227797484048045, 48.826145726915996], [2.3227680949398395, 48.82614019719824], [2.3227869578866756, 48.82612163291991], [2.3224901493576926, 48.825981060724146], [2.3224758739584654, 48.82596504105893], [2.3224045543772487, 48.82593367136863], [2.3223707268140035, 48.82593621200644], [2.3221141584168152, 48.8258304758486], [2.3220846759921976, 48.82581710224419], [2.3221441831075325, 48.82574913263638], [2.3221277383042516, 48.82574084248212], [2.3221112461369224, 48.825736195441], [2.3219975301814406, 48.825782910275], [2.322107155881757, 48.82583863309299], [2.322371250291023, 48.82594896546472], [2.3224119383317707, 48.82594919601102], [2.3224674857954737, 48.825973646457925], [2.32247408590805, 48.82599645252149], [2.322764170005865, 48.82612378109941], [2.3227480902097395, 48.82614053899482], [2.322770681542827, 48.826153417420905], [2.3227797484048045, 48.826145726915996]]], ""type"": ""Polygon""}";48.82591319454448, 2.3223329436782825
EC467771;75006;2025-10-15;2026-02-16;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;42.09;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;924712;304366;"{""coordinates"": [[[2.3238620782680686, 48.84583277310746], [2.3239456841267154, 48.84566384703825], [2.323918177020448, 48.84565686093374], [2.3238352546202186, 48.845826246824856], [2.3238620782680686, 48.84583277310746]]], ""type"": ""Polygon""}";48.84574451050679, 2.3238905020909963
EC477121;75011;2025-11-03;2027-06-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;19.74;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;932293;310441;"{""coordinates"": [[[2.383408975982734, 48.85704424391874], [2.3832869798819596, 48.85699030998943], [2.383271263485407, 48.85700243134387], [2.383395182960048, 48.857058301602706], [2.383408975982734, 48.85704424391874]]], ""type"": ""Polygon""}";48.857024096473886, 2.3833411343471878
EC441393;75008;2025-06-23;2028-06-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;136.1;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;GIG_GIC,STATIONNEMENT_PAYANT;903908;287357;"{""coordinates"": [[[2.2980092210445076, 48.87352098544707], [2.2979725823465085, 48.8735248688791], [2.2979735078419576, 48.873558570878586], [2.2982000472705235, 48.87370379408162], [2.298254639775515, 48.87369956076663], [2.2982776151107083, 48.873685123408315], [2.2980092210445076, 48.87352098544707]]], ""type"": ""Polygon""}";48.873616769929264, 2.2981157971159245
EC475218;75006;2025-11-24;2026-02-28;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;22.56;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;930751;309211;"{""coordinates"": [[[2.3295228697211168, 48.84291131116145], [2.3295614779050426, 48.84277036149982], [2.3295481640677447, 48.842768465670645], [2.329537519147881, 48.84280938915128], [2.3295053720676604, 48.842805566551284], [2.3294976632266478, 48.842832845137416], [2.329529816758176, 48.84283606160381], [2.3295109321408023, 48.84290972612782], [2.3295228697211168, 48.84291131116145]]], ""type"": ""Polygon""}";48.842833109618596, 2.329530066894557
EC475219;75006;2025-11-24;2026-02-28;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;10.13;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;930751;309211;"{""coordinates"": [[[2.3298129981867692, 48.84284705933646], [2.3298245390642656, 48.84284378465053], [2.3297741613582983, 48.84275546363119], [2.3297612455820547, 48.842758426624144], [2.3298129981867692, 48.84284705933646]]], ""type"": ""Polygon""}";48.84280055718457, 2.329792866901041
EC442655;75008;2025-04-01;2026-07-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;72.18;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;905182;288386;"{""coordinates"": [[[2.323420521505169, 48.87101323580797], [2.3233964997595096, 48.87102038649393], [2.3233756762715085, 48.87106459016584], [2.323416238483283, 48.87116591000277], [2.3234831306433144, 48.871153234140834], [2.323420521505169, 48.87101323580797]]], ""type"": ""Polygon""}";48.87109570311415, 2.323424365000898
EC459824;75015;2025-08-18;2025-12-19;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;19.74;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;918346;299115;"{""coordinates"": [[[2.304337491574893, 48.8366721297421], [2.3044719401146487, 48.83665652595199], [2.304466109268963, 48.836638635917055], [2.304333132033788, 48.836655067585475], [2.304337491574893, 48.8366721297421]]], ""type"": ""Polygon""}";48.83665552863661, 2.304402790647472
EC466218;75012;2025-09-15;2025-12-05;Ville de Paris (Tvx sur espace ou édifice public);Ville de Paris (autres);10.26;Travaux sur édifice public (VdP*);EMPRISE_TROTTOIR;;923511;303365;"{""coordinates"": [[[2.3973675025905044, 48.842581860943056], [2.3973507693602807, 48.842597031565106], [2.3974066933488998, 48.842623269661324], [2.3974223858253874, 48.84260854886482], [2.3973675025905044, 48.842581860943056]]], ""type"": ""Polygon""}";48.8426025939099, 2.397386636216624
EC472704;75009;2025-10-20;2025-12-29;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;9.12;Aménagement ou entretien de l’espace public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;928822;307639;"{""coordinates"": [[[2.3447186582094495, 48.87397317832898], [2.34475846055071, 48.87399206556063], [2.34478418377825, 48.873977635293315], [2.3447437145332795, 48.87395692236097], [2.3447186582094495, 48.87397317832898]]], ""type"": ""Polygon""}";48.873974797087136, 2.344751181680974
EC471713;75007;2025-11-03;2025-12-19;Opérateurs de réseau (gaz-électricité-RATP-etc);FRAICHEUR DE PARIS;1.61;Travaux sur réseau de climatisation;EMPRISE_TROTTOIR;;928084;307026;"{""coordinates"": [[[2.3298226989684685, 48.85851646492837], [2.329802334414846, 48.85852410958472], [2.329805696023527, 48.85853095898798], [2.329828804216731, 48.85852469581173], [2.3298226989684685, 48.85851646492837]]], ""type"": ""Polygon""}";48.85852395790611, 2.329815363725228
EC424971;75017;2025-11-24;2025-12-19;Opérateurs de réseau (gaz-électricité-RATP-etc);GROUPE JCDECAUX;16.11;Travaux sur mobiliers urbains;EMPRISE_TROTTOIR;;891209;277073;"{""coordinates"": [[[2.3262790753914717, 48.88334778573198], [2.3263419933048146, 48.883358764473186], [2.32635433409277, 48.883329995035055], [2.3262918875080394, 48.88331810792881], [2.3262790753914717, 48.88334778573198]]], ""type"": ""Polygon""}";48.88333863613127, 2.3263166565329003
EC474070;75005;2025-11-03;2025-12-12;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;270.49;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;929729;308395;"{""coordinates"": [[[2.3567666187860534, 48.84489468194876], [2.3553288725119477, 48.84586439796389], [2.355347701161498, 48.84587611105369], [2.3567844385288153, 48.84490434065563], [2.3567666187860534, 48.84489468194876]]], ""type"": ""Polygon""}";48.84539447995905, 2.3560427010568104
EC382445;75011;2024-04-29;2025-12-31;Opérateurs de réseau (gaz-électricité-RATP-etc);RATP;71.28;Travaux sur réseau de transport public;EMPRISE_CHAUSSEE;AUTRE;857929;250279;"{""coordinates"": [[[2.384545623463722, 48.86474245439749], [2.384896398658937, 48.864846259238696], [2.384917307834314, 48.864829062469404], [2.38450324323893, 48.86470762888728], [2.384545623463722, 48.86474245439749]]], ""type"": ""Polygon""}";48.86478140442303, 2.384716901962938
EC446072;75010;2025-05-12;2025-12-10;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;18.41;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;907667;290415;"{""coordinates"": [[[2.3612026054393818, 48.88407749600273], [2.3612259944555634, 48.88406195629564], [2.361148647896493, 48.884018194201914], [2.3611241544054726, 48.88403372710165], [2.3612026054393818, 48.88407749600273]]], ""type"": ""Polygon""}";48.88404777611569, 2.3611751978047133
EC456353;75012;2025-08-25;2025-12-15;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;22.54;Travaux sur réseau de chauffage urbain;EMPRISE_CHAUSSEE;;915400;296707;"{""coordinates"": [[[2.376020499443951, 48.85032144050275], [2.3760471634183724, 48.85032279458437], [2.3761824352095777, 48.850243354904336], [2.3761789740198846, 48.85022512223927], [2.376020499443951, 48.85032144050275]]], ""type"": ""Polygon""}";48.85027686926481, 2.376108998860157
EC472738;75010;2025-10-29;2026-03-13;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;11.33;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;927297;306372;"{""coordinates"": [[[2.36587747694739, 48.8683755532741], [2.366084843974608, 48.86843653160707], [2.366089742838693, 48.86843109316124], [2.3658809949570867, 48.86837010752062], [2.36587747694739, 48.8683755532741]]], ""type"": ""Polygon""}";48.86840362146721, 2.3659842987870263
EC477611;75011;2025-11-24;2025-12-19;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;9.31;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;932720;310787;"{""coordinates"": [[[2.3679786031159615, 48.864856053967394], [2.3679919582601765, 48.864864447013346], [2.368060620874649, 48.864819865814724], [2.3680489491055763, 48.86481148166478], [2.3679786031159615, 48.864856053967394]]], ""type"": ""Polygon""}";48.86483819987956, 2.3680196359249672
EC417320;75005;2024-10-28;2025-12-19;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;132.36;Travaux sur réseau de chauffage urbain;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;885223;272284;"{""coordinates"": [[[2.3468051534567143, 48.84474677908193], [2.3471304244452873, 48.844666871924176], [2.34715018333152, 48.844638518564395], [2.3471392041899644, 48.84461995968664], [2.3470911979372007, 48.84463136691064], [2.3470692830126225, 48.84462527015038], [2.3470143483897115, 48.8446389158134], [2.3470038217122475, 48.84465308894992], [2.3467857984655, 48.844708535987905], [2.3468051534567143, 48.84474677908193]]], ""type"": ""Polygon""}";48.84468138031485, 2.3469740588714476
EC462713;75006;2025-09-15;2026-12-24;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;45.74;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;920769;301119;"{""coordinates"": [[[2.3385973051240745, 48.851705864725915], [2.3386249040808758, 48.85170601728463], [2.3386281436100775, 48.8515052178806], [2.3385998480928976, 48.85150551654595], [2.3385973051240745, 48.851705864725915]]], ""type"": ""Polygon""}";48.85160524137633, 2.338612561394668
EC462005;75013;2025-09-11;2026-03-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;16.8;Construction ou réhabilitation d’immeuble;EMPRISE_TROTTOIR;;920181;300648;"{""coordinates"": [[[2.3444339468055158, 48.822379844059576], [2.344438479088946, 48.82239332272372], [2.344583012802812, 48.822366585896816], [2.3445778514016538, 48.822353309747704], [2.3444339468055158, 48.822379844059576]]], ""type"": ""Polygon""}";48.82237328412145, 2.3445082516789384
EC472819;75020;2025-10-13;2025-12-31;Ville de Paris (Tvx sur espace ou édifice public);Direction des Espaces Verts et de l'Environnement;8.19;Aménagement ou entretien de l’espace public;EMPRISE_TROTTOIR;;928896;307711;"{""coordinates"": [[[2.412619749671863, 48.8517060673319], [2.4126548858324255, 48.85170541151367], [2.4126526850028056, 48.85167807936394], [2.4126131441908583, 48.85167995466092], [2.412619749671863, 48.8517060673319]]], ""type"": ""Polygon""}";48.85169210086558, 2.412635195085975
EC476846;75013;2025-11-17;2025-12-12;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;5.9;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;932064;310252;"{""coordinates"": [[[2.3543936204735534, 48.82455808277976], [2.354377852408126, 48.824555151123704], [2.3543592448863055, 48.82459584549317], [2.354375868072836, 48.82459935017431], [2.3543936204735534, 48.82455808277976]]], ""type"": ""Polygon""}";48.8245773247846, 2.354376563296362
EC467941;75013;2025-10-06;2025-12-15;Tiers (travaux sur bâtiment);PERSONNE PHYSIQUE;5.55;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE;AUTRE;924840;304469;"{""coordinates"": [[[2.3683088812021706, 48.82420383274555], [2.3683151595411047, 48.824197945319355], [2.368230683473204, 48.824168810768526], [2.368225795878486, 48.82417379357082], [2.3683088646510804, 48.82420519880991], [2.368313057569051, 48.824200666519616], [2.3683088812021706, 48.82420383274555]]], ""type"": ""Polygon""}";48.82418727413705, 2.3682724242404154
EC470172;75014;2025-11-26;2026-12-12;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;52.06;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;926587;305827;"{""coordinates"": [[[2.327913109204305, 48.8296499802673], [2.3277668927774995, 48.829692137841846], [2.3277741169894655, 48.82970447470504], [2.3276791638143806, 48.82973174064504], [2.3277099516216593, 48.82974135355784], [2.327913921317494, 48.82968419796269], [2.3279204097535975, 48.82966220962598], [2.327913109204305, 48.8296499802673]]], ""type"": ""Polygon""}";48.82969528892895, 2.3278193480810474
EC462457;75008;2025-09-16;2026-09-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;150.4;Construction ou réhabilitation d’immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;920546;300947;"{""coordinates"": [[[2.32092966315358, 48.877605416880236], [2.321146141139389, 48.877420254342354], [2.3211210169960554, 48.877407856598865], [2.3210602139558425, 48.87740241792613], [2.320886797627576, 48.877552213552846], [2.320902414932685, 48.877591325283845], [2.32092966315358, 48.877605416880236]]], ""type"": ""Polygon""}";48.877496041597965, 2.3210065425463275
EC479272;75013;2025-11-27;2025-12-03;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;4.68;Construction ou réhabilitation d’immeuble;EMPRISE_PISTE_CYCLABLE,EMPRISE_TROTTOIR;;934092;311883;"{""coordinates"": [[[2.3576175371355172, 48.83165324583971], [2.3576284422398928, 48.83164185362177], [2.357590034586002, 48.83162822332288], [2.3575806203040393, 48.83164001746957], [2.3576175371355172, 48.83165324583971]]], ""type"": ""Polygon""}";48.831640808578406, 2.357604216877773
EC463552;75008;2025-10-27;2025-12-19;Opérateurs de réseau (gaz-électricité-RATP-etc);FRAICHEUR DE PARIS;162.0;Travaux sur réseau de climatisation;EMPRISE_CHAUSSEE,EMPRISE_PISTE_CYCLABLE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT,ZONE_LIVRAISON;921440;301676;"{""coordinates"": [[[2.325215401464468, 48.87391514170714], [2.325241366733688, 48.873989056408455], [2.3254972327864176, 48.87395452484746], [2.325477473769187, 48.87388110113866], [2.325215401464468, 48.87391514170714]]], ""type"": ""Polygon""}";48.87393486707742, 2.3253574565506168
EC477886;75005;2025-11-24;2025-12-19;Opérateurs de réseau (gaz-électricité-RATP-etc);FRAICHEUR DE PARIS;4.02;Travaux sur réseau de climatisation;EMPRISE_TROTTOIR;;932947;310960;"{""coordinates"": [[[2.342323461300521, 48.8494633307063], [2.342314465090368, 48.8494471917421], [2.3422872499061524, 48.84945311370231], [2.342299454556906, 48.849470181355244], [2.342323461300521, 48.8494633307063]]], ""type"": ""Polygon""}";48.8494583802834, 2.342305888190319
EC463553;75008;2025-10-27;2025-12-19;Opérateurs de réseau (gaz-électricité-RATP-etc);FRAICHEUR DE PARIS;109.27;Travaux sur réseau de climatisation;EMPRISE_CHAUSSEE;;921440;301676;"{""coordinates"": [[[2.3252427463838545, 48.87398906418543], [2.325255336253542, 48.87402966299217], [2.3256024078346726, 48.8739888147953], [2.3254999875438123, 48.87395499633508], [2.3252427463838545, 48.87398906418543]]], ""type"": ""Polygon""}";48.87399119177411, 2.32540392830891
